GeneID	Expression
b0836	True
b2820	False
b3156	False
b3091	False
b2277	False
b2289	False
b4138	False
b1836	True
rrlG	False
b3712	False
b1337	False
b1655	False
b1294	False
b1930	True
b4453	False
b3475	False
b3962	False
b0597	True
b0408	False
b1897	True
b4220	False
b0813	False
b0699	False
b0347	True
b3210	False
b0437	False
b0133	False
b1811	False
b2988	False
b0878	False
b0422	False
b1002	True
b0785	False
b0214	False
b0212	False
b2733	False
b4580	False
b1534	False
b1596	False
b1767	False
b2669	False
b1238	False
b4233	False
b2120	True
b1533	False
b1814	False
b4281	True
b3333	False
b2181	False
b1178	False
b0569	False
b1543	True
csrC	False
b0074	False
b1164	True
b3002	False
b0954	False
b4550	False
b4467	True
leuV	True
b0660	False
b3473	False
b1634	False
b3026	False
b1877	False
b2184	False
b4409	False
b0630	False
b0752	False
b1249	True
b3107	False
b3332	False
b2305	False
b0689	True
b0194	False
b1570	False
b0449	False
b0019	False
b1433	False
b4389	False
b1502	True
b0832	False
b2308	False
b1522	False
b3929	False
b0069	False
b0677	False
b1636	False
leuQ	True
b1301	True
b3087	False
b0480	False
rrsE	True
b3805	False
b2970	True
ssrS	False
b2687	False
b2068	False
b3034	False
b4308	True
b1705	False
b3040	False
b3178	False
b2330	False
b0397	False
b1798	False
b2811	False
b0659	False
b0777	True
b1167	True
aspU	True
b3179	False
b0984	False
b2321	False
b0228	True
b0139	True
b3906	True
b3560	False
b3018	False
b2265	False
b0020	False
b0478	False
b0623	False
b2619	False
b3082	False
b2620	False
b0464	False
b3449	False
b2972	True
b0754	False
b1235	False
b3092	False
b1130	False
b0607	False
b2145	True
b3542	True
b0438	False
b2007	False
b2406	False
cyaR	True
b4398	False
b0603	True
b3494	False
b3220	False
b3642	False
b0312	False
b2664	False
b1896	False
b1759	False
b3064	False
b4323	False
b0678	False
b3656	False
b1566	True
b0443	True
b1957	True
b0400	False
b2215	False
b2631	False
b0432	False
b0914	False
b0106	False
b2785	False
b0507	True
b1668	False
b3029	False
b3559	False
b4388	False
b1187	False
b3207	False
b0843	False
b1477	False
b0272	False
b1544	True
b3445	True
b0985	True
b1963	False
b3356	False
b4130	False
b2502	False
arcZ	False
b1511	False
b3408	False
b2065	False
b0107	False
b1105	False
b1504	True
b3204	False
b0183	False
b3918	False
b2112	True
b3081	False
b3754	False
b4176	True
b0610	False
b1398	False
b0946	False
b2009	False
b3326	False
b3825	False
b3920	False
gadY	True
b2601	False
b0038	False
b0315	False
b4702	False
b3180	False
b4023	False
b0081	False
b0992	False
b0141	True
b2959	False
b1413	False
b1768	False
b1821	False
b4328	False
b1103	False
b1429	False
b4345	False
b1913	False
b3411	False
b1418	False
b4493	False
b1380	False
b1751	True
b2704	True
b1385	False
b2577	False
b0751	False
b2822	False
b3529	False
b4181	True
b3009	False
b1336	False
b2584	False
b0960	False
b3991	False
b0606	False
b4018	False
b0280	False
b0111	False
b4406	False
b2320	False
rdlC	True
b0844	False
b0159	False
metV	True
b0173	False
b0787	False
b1181	False
b1501	False
b2441	False
b0156	False
b2102	False
b4296	False
b1219	False
b3284	False
b3451	True
b2712	False
b1299	False
b2610	False
b0995	False
b1604	False
b2971	True
b0281	False
b4569	True
b1757	False
b3572	False
b0564	True
b4089	False
b2951	False
b4197	True
b1726	False
b3157	False
b3223	True
b3534	False
b3057	False
b4688	False
b3745	False
b3013	False
b0021	False
b2413	False
b0587	True
b1746	False
b0193	False
b3173	False
b0352	True
b3058	False
b1439	False
b4050	True
b0178	False
b3562	True
b1400	False
b3324	True
b2914	False
b3631	False
b1656	False
b3990	False
b3775	False
b3567	False
b1918	False
b4678	True
b3335	False
b1591	False
b2019	False
b2285	False
pheV	True
b2157	False
b3867	False
b3518	False
b3125	False
b3835	False
b1473	False
b2251	False
b3774	False
symR	True
b2111	True
b1653	False
b3641	False
b3384	False
b2476	False
b0956	False
b3843	False
b4542	False
b0481	False
b0544	True
b3172	False
b4030	True
b0831	False
b2119	True
b3980	False
b1525	False
b0662	False
b3680	True
b0646	True
b2381	False
b0398	False
b1451	False
b0837	False
b0388	False
b0006	False
b1832	False
b2893	False
b2160	False
b0313	False
b2997	False
b2600	False
b3951	False
b4495	True
b1526	False
b2427	False
b1449	False
b0311	False
b1567	True
b0067	False
b4161	False
b0168	False
b2268	False
b1730	True
b1204	False
b0393	False
b4379	False
b4003	False
b4390	False
b0618	True
sroH	True
b4677	True
b1098	False
b1983	False
b0782	False
b1282	False
b4667	True
b3891	False
b4657	True
b0896	False
b2501	False
b3252	False
b1029	True
b1503	True
b2778	True
b3103	False
b0527	False
b2122	False
b2332	False
b1786	False
b3022	False
b0653	False
b1760	False
b0935	True
b2199	False
b4254	True
b2842	False
b3476	True
b2370	False
b1250	False
b1627	False
b2073	False
b0778	True
b1754	False
b4159	False
b4006	False
b1750	True
b0409	False
b0190	False
b3240	False
b3554	False
b0015	True
b1667	False
cysT	True
b2020	False
b0868	False
b0994	False
b0732	False
b1595	False
b0565	False
b0078	False
b2497	False
b3477	True
b4198	False
b1928	False
b0920	False
b4589	True
b2595	False
b1468	False
b1991	False
b0485	True
b1917	False
b1560	False
b1247	False
b3227	False
b2746	False
b0755	False
b2108	True
b2358	True
b0876	False
b0288	True
b3662	False
b1622	False
b4205	False
b1766	False
b1234	False
b1853	False
b0904	True
b1131	False
b3030	False
b1745	False
b1657	False
b3208	False
b1838	False
b3824	False
b0528	False
b0822	False
b3816	False
b1293	False
b2777	False
b3253	False
b2927	False
ryfA	False
micF	True
b4303	False
b0697	False
b1812	False
b2436	False
b2797	False
b2322	False
b3023	False
b3628	False
thrT	False
b3196	False
b2789	False
b2324	False
b3595	False
b4260	False
b2956	False
b2672	False
b4491	False
b1992	False
b2255	False
b3334	True
b3630	False
b1246	False
b1286	False
b1826	False
b2987	False
b2786	False
b3448	False
b4223	False
b0957	False
b0314	False
b1564	False
b1827	False
b4347	False
b0064	False
b2550	False
b1065	False
b3382	True
b1184	False
b1744	True
b1111	False
b0598	False
b2435	False
b3621	False
b0885	False
b4059	False
b4687	False
b4393	False
b2788	False
b3353	False
b0695	False
b2240	False
b0619	False
b3992	False
b1789	False
b1855	False
b1104	False
b4004	False
b0132	False
b0262	False
b3838	False
b3845	False
b2286	False
ileT	True
b4494	True
b1908	False
b3228	False
b2269	True
b1452	False
b2944	False
b4497	True
b1625	False
ileU	True
b3610	False
b4502	False
b4741	True
b0263	True
b0629	False
b2641	False
b0072	False
b1738	False
b1800	False
b4218	False
b3383	False
hisR	False
b1035	False
b1916	False
b1097	False
b0874	False
b3616	False
b0571	False
sokC	False
b0933	False
b3919	False
b1237	False
b1956	False
b1273	False
b0521	True
b2629	True
b3771	False
b0986	True
b0909	False
alaX	True
b0418	False
b3654	False
b1330	False
b0411	False
b3097	False
b1971	False
b3804	False
b2948	False
b3688	False
b4245	False
b4046	False
b0739	False
b2115	True
b3510	False
b0134	False
b1179	False
b3188	False
b0110	False
b2513	False
b3839	False
b4740	False
b2029	False
b4472	False
b2071	True
b1284	False
glnU	True
b3520	True
b1837	False
b2021	False
b2966	False
b2555	False
b3597	False
b1270	False
b2723	False
b1955	False
b0076	False
b1209	False
b3153	False
b3661	False
b3940	False
b4309	False
b3269	False
b1593	False
b0784	False
b0324	False
b2151	False
b3548	False
b4123	False
b2865	False
b3046	False
b2275	False
b2317	False
b2961	False
b4399	False
b3101	False
b3280	False
b2713	False
b0682	False
b3085	False
b3922	False
b2996	False
b3090	False
b3861	False
b1182	False
b1432	False
b2697	False
b1214	False
b3144	False
b3933	False
b3502	False
b2016	False
b1985	False
b3809	False
b3177	False
b2158	False
b1183	False
b0236	False
b4486	False
b1217	False
b0525	False
b4235	False
b0219	False
b0351	False
b2196	False
b0071	False
b0928	False
b3130	False
b1022	False
b2451	False
b2027	False
b2536	False
b2895	False
b3086	False
b1781	False
b0471	False
b2675	False
b1872	False
b1144	False
b0055	False
b1490	False
b4013	False
b4586	False
b4742	False
metZ	False
b3270	False
b0426	False
b4237	False
b1620	False
b0226	False
b2891	False
b3434	False
b1736	False
sdsN	False
b1100	False
b4365	False
b2745	False
b2389	False
b4294	False
b0688	False
b0923	False
b1734	False
b1529	False
b0586	False
b1669	False
b2326	False
b3367	False
b3465	False
b4623	False
b2144	False
b0225	False
b1643	False
b2982	False
b0073	False
b0814	False
b3116	False
b2700	False
b2587	False
b0434	False
b3586	False
b0768	False
b1987	False
b3441	False
b1588	False
b1476	False
b0846	False
b3696	False
b1782	False
b2628	False
b2744	False
b4040	False
b4185	False
b4518	False
b0307	False
b4145	False
b1514	False
b1649	False
